46,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
960,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
186,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
233,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
108,-0.16666666666666666,0.43333333333333335,3.7017096484748345e-07,2018-10-08,-0.8064999999999998
96,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
30,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
82,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
18,-0.05,0.4,1.708481376219155e-08,2018-10-08,-0.8064999999999998
457,0.0,0.25,-0.0,2018-10-08,-0.8064999999999998
74,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
80,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
80,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
275,-0.1,0.1,1.3050899401674102e-07,2018-10-08,-0.8064999999999998
2822,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
80,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1248,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
3693,0.5,0.5,-4.381542862762041e-05,2018-10-08,-0.8064999999999998
1244,0.5,0.5,-1.4759380777893254e-05,2018-10-08,-0.8064999999999998
80,-0.75,1.0,2.847468960365258e-06,2018-10-08,-0.8064999999999998
521,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1284,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1764,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
41,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1050,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
2201,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
190,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
14729,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
276,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1618,-0.1,0.1,7.67867462978498e-07,2018-10-08,-0.8064999999999998
249,-0.0625,0.16666666666666666,1.230937102657898e-07,2018-10-08,-0.8064999999999998
128,1.0,0.75,-4.555950336584413e-06,2018-10-08,-0.8064999999999998
192,-0.025,0.23333333333333334,5.3152753926818154e-08,2018-10-08,-0.8064999999999998
619,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
121,-0.2,0.05,5.7423957367366046e-08,2018-10-08,-0.8064999999999998
6,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
979,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
2,-0.4,0.6,2.2779751682922064e-08,2018-10-08,-0.8064999999999998
42,0.6,0.8,-9.567495706827267e-07,2018-10-08,-0.8064999999999998
58,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
5279,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
110,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
337,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
147,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
110,0.25,0.5,-6.525449700837049e-07,2018-10-08,-0.8064999999999998
80,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
110,-0.03181818181818183,0.42727272727272725,7.097100666364924e-08,2018-10-08,-0.8064999999999998
1895,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
110,0.04999999999999999,0.85,-2.2186528982845963e-07,2018-10-08,-0.8064999999999998
933,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
554,0.5,0.7,-9.202070523580391e-06,2018-10-08,-0.8064999999999998
63,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
154,1.0,0.75,-5.481377748703121e-06,2018-10-08,-0.8064999999999998
344,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
195,0.1875,0.625,-1.0844852485766118e-06,2018-10-08,-0.8064999999999998
948,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
3,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
65,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
5728,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1266,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
99,0.5,0.5,-1.1745809461506688e-06,2018-10-08,-0.8064999999999998
131,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
296,0.13636363636363635,0.5,-9.577850139410412e-07,2018-10-08,-0.8064999999999998
2122,0.75,0.8,-6.042329133895079e-05,2018-10-08,-0.8064999999999998
22,0.3125,0.3333333333333333,-1.0875749501395081e-07,2018-10-08,-0.8064999999999998
344,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1275,0.0,0.55,-0.0,2018-10-08,-0.8064999999999998
645,0.0,1.0,-0.0,2018-10-08,-0.8064999999999998
28,1.0,0.75,-9.966141361278403e-07,2018-10-08,-0.8064999999999998
56171,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1772,-0.2,0.05,8.409524996278731e-07,2018-10-08,-0.8064999999999998
1050,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
208,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
1811,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
108,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
605,0.125,0.16666666666666666,-5.981662225767294e-07,2018-10-08,-0.8064999999999998
1771,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
877,0.0,0.0,-0.0,2018-10-08,-0.8064999999999998
