1,0.047334439520299657,0,-1.7902813299232607,2018-10-05,35.19,34.56,35.23,34.41,20433894.0

2,0.0164535957162643
3,0.024476198997452146,1,1.9710144927536224,2018-10-08,34.5,35.18,35.23,34.45,18925573.0

4,0.03834720326974086,1,0.45351473922901525,2018-10-09,35.28,35.44,35.83,34.99,17407346.0

5,0.039450976633204606,0,-3.081707661860323,2018-10-10,35.37,34.28,35.65,34.23,25754046.0

6,0.02581635904339267,0,-2.6878612716762995,2018-10-11,34.6,33.67,34.69,33.51,36284363.0

7,0.03361441835866337,1,1.6740088105726882,2018-10-12,34.05,34.62,34.79,33.89,31439332.0

8,0.037443397384455956,1,1.3868824039295116,2018-10-15,34.61,35.09,35.67,34.51,22877283.0

9,0.060306556060837874,1,1.3868824039295116,2018-10-15,34.61,35.09,35.67,34.51,22877283.0

10,0.03693021711432668,0,-0.9695290858725801,2018-10-22,36.1,35.75,36.2452,35.59,24301870.0

11,0.02898985027570652,0,-0.9695290858725801,2018-10-22,36.1,35.75,36.2452,35.59,24301870.0

12,0.029897079132239282,0,-0.9695290858725801,2018-10-22,36.1,35.75,36.2452,35.59,24301870.0

13,0.014771952736512566,0,-0.9695290858725801,2018-10-22,36.1,35.75,36.2452,35.59,24301870.0

14,0.04043801796127185,1,0.6777746399322282,2018-10-23,35.41,35.65,35.79,35.05,20100191.0

15,0.07291111450293784,0,-0.11148272017836997,2018-10-25,35.88,35.84,36.28,35.05,33839614.0

16,0.02716582198212944,1,0.19487750556792952,2018-10-29,35.92,35.99,36.515,35.415,32373486.0

17,0.03689415207525414,1,3.3433817484242225,2018-10-30,36.49,37.71,37.77,36.12,36610558.0

18,0.03559844032530243,0,-0.39370078740157105,2018-11-01,38.1,37.95,38.175,37.66,23797509.0

20,0.029915398949270568
21,0.03175878153096949,0,-0.9971136184728484,2018-11-06,38.11,37.73,38.19,37.53,19682930.0

22,0.0400903619192736,1,0.8691071898867482,2018-11-07,37.97,38.3,38.342,37.64,21551932.0

