1,0.02966412467061694,0,-2.753441802252824,2018-10-05,7.99,7.77,8.04,7.6,31032322.0

2,0.030541687970940035
3,0.011098418552734383,0,-2.857142857142854,2018-10-08,7.7,7.48,7.7,7.265,27870371.0

4,0.022184405057425922,0,-3.314917127071826,2018-10-09,7.24,7.0,7.4,6.835,41259274.0

5,0.02893547096590521,0,-5.857142857142859,2018-10-10,7.0,6.59,7.02,6.59,38929914.0

6,0.018032727093317314,1,4.930662557781193,2018-10-11,6.49,6.81,7.0,6.46,31180385.0

7,0.027056753592937535,1,0.0,2018-10-12,7.18,7.18,7.39,7.05,36249489.0

8,0.06590111897995155,1,2.9207232267037546,2018-10-15,7.19,7.4,7.46,7.12,22050848.0

9,0.021382429382942256,1,2.9207232267037546,2018-10-15,7.19,7.4,7.46,7.12,22050848.0

10,0.026869316698380812,0,-0.1459854014598509,2018-10-22,6.85,6.84,6.98,6.72,12651402.0

11,0.03220961578870989,0,-0.1459854014598509,2018-10-22,6.85,6.84,6.98,6.72,12651402.0

12,0.020377970184532416,0,-0.1459854014598509,2018-10-22,6.85,6.84,6.98,6.72,12651402.0

13,0.011489860122299706,0,-0.1459854014598509,2018-10-22,6.85,6.84,6.98,6.72,12651402.0

14,0.02217073142076004,0,-0.2923976608187072,2018-10-23,6.84,6.82,6.93,6.68,24667350.0

15,0.032978817384407916,1,4.172876304023849,2018-10-25,6.71,6.99,7.085,6.69,44154393.0

16,0.030744274640917047,0,-5.669291338582669,2018-10-29,6.35,5.99,6.59,5.89,32096514.0

17,0.016862513292422356,1,8.431703204047219,2018-10-30,5.93,6.43,6.5386,5.91,35878702.0

18,0.018019781272713392,1,9.090909090909099,2018-11-01,6.6,7.2,7.29,6.46,31642826.0

19,0.03222564990339616,0,-3.943661971830977,2018-11-02,7.1,6.82,7.18,6.66,26902721.0

20,0.023440710955449966
21,0.012705707751116164,1,3.352769679300285,2018-11-06,6.86,7.09,7.2,6.8501,15681573.0

22,0.01412688122057303,1,1.5514809590973246,2018-11-07,7.09,7.2,7.29,7.08,14356549.0

